columns,rel_imp,sca_imp,percentage
Col1309,1.4062983393669128,0.0017281965470982352,7.018394532575347e-05
Col131,9.543981567025185,0.011450537559502408,0.000470246193836474
Col1310,11.280934683047235,0.01349749257011916,0.0005566697750200133
Col1311,5.347983360290527,0.006446414384481009,0.00026406377469141115
Col1312,0.0,0.0,0.0
Col1313,0.0,0.0,0.0
Col1314,2.4329004883766174,0.0029688884189277825,0.00012094678705657039
Col1315,0.0,0.0,0.0
Col1316,1.8634309768676758,0.0022485079331305245,9.206227858761401e-05
Col1317,0.0,0.0,0.0
Col1318,0.0,0.0,0.0
Col1319,0.0,0.0,0.0
Col132,3.9919945001602173,0.004820118902942202,0.000197295152297013
Col1320,0.0,0.0,0.0
Col1321,0.0,0.0,0.0
Col1322,17.08161073923111,0.02047527380614923,0.0008893478817382884
Col1323,1.2083333432674408,0.0015305522341246137,6.133412544409719e-05
Col1324,0.0,0.0,0.0
Col1325,0.0,0.0,0.0
Col1326,0.0,0.0,0.0
Col1327,2.1900317072868347,0.002660915593000814,0.00010861127624517552
Col1328,3.58029842376709,0.004308004897846845,0.00017660916590692588
Col1329,2.5308088660240173,0.003085188840386865,0.00012574237780471487
Col133,18.74237769842148,0.022612498784617525,0.001002331654529188
Col1330,0.0,0.0,0.0
Col1331,5.419208288192749,0.006532321684053937,0.0002675818045508045
Col1332,0.0,0.0,0.0
Col1333,0.0,0.0,0.0
Col1334,3.1732490062713623,0.003831090814471334,0.00015682067738319734
Col1335,9.318885411892552,0.011169786971423425,0.00045882023945756015
Col1336,3.0981364250183105,0.003740508877570721,0.00015311094921130507
Col1337,2.2335572838783264,0.0027133520453807075,0.00011075975675310713
Col1339,6.158836841583252,0.007405723906888812,0.0003036925195290202
Col134,8.02006176285704,0.009600678353889862,0.0003945019110413486
Col1341,0.0,0.0,0.0
Col1344,3.079399585723877,0.003716377552830459,0.00015215089668604387
Col1345,6.084964036941528,0.007324874825025363,0.00030022995305418543
Col1346,2.80637264251709,0.0034012280433924676,0.0001389847984483902
Col1347,7.824423789978027,0.00937751349187704,0.00038512291572045005
Col135,27.650100588798523,0.03617267132544803,0.001890447822910684
Col1350,0.0,0.0,0.0
Col1352,1.863026738166809,0.0022479430444071863,9.204056677671336e-05
Col1353,0.0,0.0,0.0
Col1357,3.6359342336654663,0.004371633757540782,0.00017927874877572567
Col1359,2.02140349149704,0.0024455624828435686,0.00010001215481986663
Col136,0.800000011920929,0.001117931025494997,4.2968298043002156e-05
Col1360,1.0359282344579697,0.001354074009914685,5.3528697897403645e-05
Col1361,2.07487416267395,0.0025141360350307593,0.00010274534103725085
Col1364,1.983366310596466,0.002397051749971147,9.807395755812614e-05
Col1365,2.2943994998931885,0.002791503251666712,0.00011387254285387036
Col1369,0.0,0.0,0.0
Col137,0.800000011920929,0.001117931025494997,4.2968298043002156e-05
Col1370,10.303091902751476,0.012318863199630893,0.0005072893599726015
Col1371,2.052107274532318,0.0024853085867270522,0.00010158994833857043
Col1372,0.0,0.0,0.0
Col1373,0.0,0.0,0.0
Col1374,0.0,0.0,0.0
Col1376,0.0,0.0,0.0
Col1377,8.04031995641526,0.009626718223829805,0.0003955415243276859
Col1378,0.0,0.0,0.0
Col138,40.64984405040741,0.054774406746128226,0.0030558098694211484
Col1381,0.0,0.0,0.0
Col1386,6.555755138397217,0.00787991797792928,0.00032319500917572666
Col139,39.238383412361145,0.05278554765106929,0.0029509611140849474
