feature,imp
Col618,4.5
Col261,4.5
Col839,4.5
Col212,4.5
Col12,4.5
Col464,4.5
Col393,4.75
Col821,4.75
Col280,4.75
Col367,4.75
Col317,4.75
Col20,4.75
Col273,4.75
Col893,4.75
Col559,4.75
Col552,4.75
Col691,4.75
Col704,4.75
Col176,4.75
Col220,5.0
Col205,5.0
Col164,5.0
Col270,5.0
Col476,5.0
Col332,5.0
Col196,5.0
Col222,5.0
Col683,5.0
Col534,5.0
Col761,5.0
Col448,5.0
Col452,5.0
Col174,5.0
Col269,5.25
Col703,5.25
Col713,5.25
Col455,5.25
Col600,5.25
Col773,5.25
Col234,5.25
Col425,5.25
Col497,5.25
Col431,5.25
Col167,5.25
Col443,5.25
Col453,5.25
Col762,5.25
Col277,5.25
Col92,5.5
Col10,5.5
Col750,5.5
Col267,5.5
Col289,5.5
Col725,5.5
Col678,5.5
Col786,5.5
Col255,5.5
Col575,5.5
Col180,5.5
Col615,5.5
Col716,5.75
Col444,5.75
Col926,5.75
Col680,5.75
Col483,5.75
Col477,5.75
Col851,6.0
Col466,6.0
Col286,6.0
Col815,6.0
Col215,6.0
Col163,6.25
Col601,6.25
Col729,6.25
Col165,6.25
Col727,6.25
Col736,6.25
Col792,6.25
Col278,6.25
Col209,6.25
Col686,6.5
Col871,6.5
Col884,6.5
Col291,6.5
Col860,6.5
Col564,6.5
Col166,6.5
Col608,6.5
Col885,6.5
Col474,6.75
Col640,6.75
Col221,6.75
Col647,7.0
Col22,7.0
Col93,7.0
Col182,7.0
Col409,7.25
Col3,7.25
Col247,7.25
Col376,7.5
Col162,7.5
Col454,7.5
Col838,7.5
Col172,7.75
Col228,8.0
Col700,8.0
Col694,8.0
Col322,8.25
Col170,8.25
Col24,8.5
Col795,8.5
Col502,8.5
Col418,8.75
Col437,9.0
Col305,9.0
Col279,9.25
Col23,9.25
Col931,9.25
Col722,9.25
Col43,9.5
Col519,10.0
Col669,10.0
Col633,10.25
Col246,10.25
Col814,10.25
Col870,10.5
Col257,10.5
Col26,10.5
Col892,10.5
Col614,10.75
Col681,10.75
Col816,11.0
Col621,11.0
Col881,11.25
Col652,11.25
Col240,11.5
Col179,12.25
Col440,12.25
Col107,12.25
Col25,12.25
Col876,12.75
Col173,13.25
Col627,13.25
Col872,13.25
Col106,13.25
Col873,13.5
Col175,13.75
Col933,14.0
Col36,14.0
Col13,14.25
Col243,14.25
Col910,16.0
Col18,16.75
Col932,17.0
Col177,19.25
Col877,23.0
Col636,23.0
Col27,24.5
Col875,25.0
Col874,25.5
