columns,rel_imp,sca_imp,percentage
Col1959,0.0,0.0,0.0
Col196,24.10586592555046,0.03578352501217366,0.0017227067611879933
Col1960,2.113774597644806,0.003185378529867719,0.00011461218733322195
Col1961,2.742753744125366,0.0041638856978229374,0.00014877272361546852
Col1962,1.9490104913711548,0.0029307152996485,0.00010566672158380508
Col1963,3.3909772634506226,0.005078659440757334,0.00018380644256896895
Col1964,2.6078432202339172,0.003965959062180999,0.00014146753840271436
Col1965,5.7200093269348145,0.008570913051880949,0.00031005807730057267
Col1966,0.0,0.0,0.0
Col1967,0.0,0.0,0.0
Col1968,1.440408170223236,0.002204730014382824,7.816379376886345e-05
Col1969,1.3480142951011658,0.002095364185712797,7.320889626243778e-05
Col197,0.8519818782806396,0.0015154349208924593,4.6620933736970045e-05
Col1970,0.0,0.0,0.0
Col1971,0.0,0.0,0.0
Col1972,0.0,0.0,0.0
Col1973,0.0,0.0,0.0
Col1974,0.0,0.0,0.0
Col1975,0.0,0.0,0.0
Col1976,0.0,0.0,0.0
Col1977,0.0,0.0,0.0
Col1978,0.0,0.0,0.0
Col1979,0.0,0.0,0.0
Col198,0.8459079265594482,0.0015046310777817537,4.628856363857466e-05
Col1980,0.0,0.0,0.0
Col1981,0.0,0.0,0.0
Col1982,6.480790376663208,0.0096868198248249,0.0003512527069214819
Col1983,3.389372229576111,0.0050758045392099455,0.00018371861420099917
Col1984,5.322107791900635,0.008000843430883163,0.00028853749446134704
Col1985,4.297623634338379,0.00646245566928021,0.00023299839630981157
Col1986,0.0,0.0,0.0
Col1987,0.0,0.0,0.0
Col1988,8.547748099605087,0.012700103318205784,0.0004632359774816168
Col1989,0.0,0.0,0.0
Col199,0.842788815498352,0.0014990830609229136,4.611788410441476e-05
Col1990,2.002163529396057,0.0030170957112130663,0.00010856029575421308
Col1991,0.0,0.0,0.0
Col1992,3.518857717514038,0.005265282742297002,0.00019072914394185322
Col1993,0.0,0.0,0.0
Col1994,4.155290365219116,0.006241254099475357,0.00022526854016408754
Col1995,5.61460542678833,0.008419172859755892,0.00030435594792025414
Col1996,0.0,0.0,0.0
Col1997,0.0,0.0,0.0
Col1998,0.0,0.0,0.0
Col1999,0.0,0.0,0.0
Col20,27.657090663909912,0.041140809347237586,0.0021616152108668053
Col200,0.8400090932846069,0.0014941387208841433,4.596577612132512e-05
Col2000,1.1411290615797043,0.0018625989369836472,6.213631790108069e-05
Col2001,0.0,0.0,0.0
Col2002,7.362005949020386,0.010971253715514915,0.0003989536831364593
Col2003,0.0,0.0,0.0
Col2004,1.3266344964504242,0.0020714462707112098,7.20648914848382e-05
Col2005,0.0,0.0,0.0
